Organization Policies,,,,,,
Category,Policy,Expected Value,Current Value,Status,,
App Engine,Disable Source Code Download,TRUE,TRUE,Compliant,,
App Engine,Runtime Deployment Exemption (App Engine),TRUE,N/A,Not Configured,,
Assured Workloads,Restrict TLS Versions,TRUE,N/A,Not Configured,,
BigQuery,Disable BigQuery Omni for Cloud AWS,TRUE,N/A,Not Configured,,
BigQuery,Disable BigQuery Omni for Cloud Azure,TRUE,N/A,Not Configured,,
Cloud Build,Allowed Integrations (Cloud Build),TRUE,N/A,Not Configured,,
Cloud Build,Allowed Worker Pools (Cloud Build),TRUE,N/A,Not Configured,,
Cloud Build,Disable Create Default Service Account (Cloud Build),TRUE,N/A,Not Configured,,
Cloud Build,Use default service account (Cloud Build),FALSE,N/A,Not Configured,,
Cloud Build,Use Compute Engine Service Account by Default (Cloud Build),FALSE,N/A,Not Configured,,
Cloud Console,Disable SSH-in-browser,TRUE,N/A,Not Configured,,
Cloud Console,Restrict resource query visibility,TRUE,N/A,Not Configured,,
Cloud Deploy,Disable Cloud Deploy service labels,TRUE,N/A,Not Configured,,
Cloud KMS,Restrict which KMS CryptoKey types may be created.,TRUE,N/A,Not Configured,,
Cloud KMS,Restrict which projects may supply KMS CryptoKeys for CMEK,TRUE,N/A,Not Configured,,
Cloud KMS,Restrict which services may create resources without CMEK,TRUE,N/A,Not Configured,,
Cloud KMS,Minimum destroy scheduled duration per key,TRUE,N/A,Not Configured,,
Cloud KMS,Restrict key destruction to disabled key versions,TRUE,N/A,Not Configured,,
Compute Engine,Disable Guest Attributes of Compute Engine metadata,TRUE,N/A,Not Configured,,
Compute Engine,Disable VM nested virtualization,TRUE,N/A,Not Configured,,
Compute Engine,Disable VM serial port access,TRUE,N/A,Not Configured,,
Compute Engine,Disable VM serial port logging to Stackdriver,TRUE,N/A,Not Configured,,
Compute Engine,Require OS Login,TRUE,N/A,Not Configured,,
Compute Engine,Shielded VMs,TRUE,N/A,Not Configured,,
Compute Engine,Restrict Non-Confidential Computing,TRUE,N/A,Not Configured,,
Compute Engine,Restrict Shared VPC Host Projects,TRUE,N/A,Not Configured,,
Compute Engine,Restrict Shared VPC Subnetworks,TRUE,N/A,Not Configured,,
Compute Engine,Restrict shared VPC project lien removal,TRUE,N/A,Not Configured,,
Compute Engine,Shared Reservations Owner Projects,TRUE,N/A,Not Configured,,
Compute Engine,"Compute Storage resource use restrictions (Compute Engine disks, images, and snapshots)",TRUE,N/A,Not Configured,,
Compute Engine,Define trusted image projects,TRUE,N/A,Not Configured,,
Compute Engine,Restrict VM IP Forwarding,TRUE,N/A,Not Configured,,
Compute Engine,Define allowed external IPs for VM instances,TRUE,N/A,Not Configured,,
Compute Engine,Disable Global Access to VM Serial Ports,TRUE,N/A,Not Configured,,
Compute Engine,Enforce FIPS-compliant machine types,TRUE,N/A,Not Configured,,
Compute Engine,Require SSL Policy,TRUE,N/A,Not Configured,,
Compute Engine,Restrict cross-project backend buckets and backend services,TRUE,N/A,Not Configured,,
Compute Engine,Restrict allowed Private Service Connect Consumers,TRUE,N/A,Not Configured,,
Compute Engine,Restrict allowed Private Service Connect Producers,TRUE,N/A,Not Configured,,
Compute Engine,Disable fail-open behavior for list methods that display quota information for a region,TRUE,N/A,Not Configured,,
Compute Engine,Require OS Config,TRUE,N/A,Not Configured,,
DNS,Sets the internal DNS setting for new projects to Zonal DNS Only,TRUE,N/A,Not Configured,,
Data,Datastream - Block Public Connectivity Methods,TRUE,N/A,Not Configured,,
Data,Require Firestore Service Agent for import/export,TRUE,N/A,Not Configured,,
Data,Restrict Authorized Networks on Cloud SQL instances,TRUE,N/A,Not Configured,,
Data,Restrict Public IP access on Cloud SQL instances,TRUE,N/A,Not Configured,,
Data,Restrict default Google-managed encryption on Cloud SQL instances,TRUE,N/A,Not Configured,,
Data,Restrict git remotes for repositories in Dataform,TRUE,N/A,Not Configured,,
Data,Disable Cloud Spanner multi-region if no location selected,TRUE,N/A,Not Configured,,
Data,Enforce in-transit regions for Pub/Sub messages,TRUE,N/A,Not Configured,,
IAM,Allow extending lifetime of OAuth 2.0 access tokens to up to 12 hours,TRUE,N/A,Not Configured,,
IAM,Domain restricted sharing,TRUE,N/A,Not Configured,,
IAM,Disable Automatic IAM Grants for Default Service Accounts,TRUE,N/A,Not Configured,,
IAM,Disable Audit Logging exemption,TRUE,N/A,Not Configured,,
IAM,Disable service account creation,TRUE,N/A,Not Configured,,
IAM,Disable service account key creation,TRUE,N/A,Not Configured,,
IAM,Disable Service Account Key Upload,TRUE,N/A,Not Configured,,
IAM,Restrict removal of Cross Project Service Account liens,TRUE,N/A,Not Configured,,
IAM,Allowed AWS accounts that can be configured for workload identity federation in Cloud IAM,TRUE,N/A,Not Configured,,
IAM,Allowed external Identity Providers for workloads in Cloud IAM,TRUE,N/A,Not Configured,,
IAM,Service account key expiry duration in hours,TRUE,N/A,Not Configured,,
IAM,Service account key exposure response,TRUE,N/A,Not Configured,,
IAM,Disable service account key creation,TRUE,N/A,Not Configured,,
IAM,Disable service account key upload,TRUE,N/A,Not Configured,,
IAM,Prevent privileged basic roles for default service accounts,TRUE,N/A,Not Configured,,
IAM,Restrict contact domains,TRUE,N/A,Not Configured,,
IAM,Restrict allowed policy members in IAM allow policies,TRUE,N/A,Not Configured,,
Kubernetes Engine,Disable Workload Identity Cluster Creation,TRUE,N/A,Not Configured,,
Kubernetes Engine,Allowed VPC Service Controls mode for Anthos Service Mesh Managed Control Planes,TRUE,N/A,Not Configured,,
Load Balancing,Disable creation of Cloud Armor security policies,TRUE,N/A,Not Configured,,
Load Balancing,Disable Global Load Balancing,TRUE,N/A,Not Configured,,
Load Balancing,Disable Creation of global self-managed SSL Certificates,TRUE,N/A,Not Configured,,
Load Balancing,Restrict Load Balancer Creation Based on Load Balancer Types,TRUE,N/A,Not Configured,,
Load Balancing,Disable Enabling Identity-Aware Proxy (IAP) on global resources,TRUE,N/A,Not Configured,,
Load Balancing,Disable Enabling Identity-Aware Proxy (IAP) on regional resources,TRUE,N/A,Not Configured,,
Marketplace,Restrict access on marketplace services,TRUE,N/A,Not Configured,,
Marketplace,Disable public marketplace,TRUE,N/A,Not Configured,,
Networking,Disable All IPv6 usage,TRUE,N/A,Not Configured,,
Networking,Disable Hybrid Cloud IPv6 usage,TRUE,N/A,Not Configured,,
Networking,Disable Internet Network Endpoint Groups,TRUE,N/A,Not Configured,,
Networking,Disable VPC External IPv6 usage,TRUE,N/A,Not Configured,,
Networking,Disable VPC Internal IPv6 usage,TRUE,N/A,Not Configured,,
Networking,Require predefined policies for VPC flow logs,TRUE,N/A,Not Configured,,
Networking,Restrict Cloud NAT usage,TRUE,N/A,Not Configured,,
Networking,Restrict Dedicated Interconnect usage,TRUE,N/A,Not Configured,,
Networking,Restrict Partner Interconnect usage,TRUE,N/A,Not Configured,,
Networking,Restrict the use of protocol forwarding,TRUE,N/A,Not Configured,,
Networking,Restrict VPC peering usage,TRUE,N/A,Not Configured,,
Networking,Restrict VPN Peer IPs,TRUE,N/A,Not Configured,,
Networking,Skip default network creation,TRUE,N/A,Not Configured,,
Networking,Allowed VLAN Attachment encryption settings,TRUE,N/A,Not Configured,,
Networking,Restricts the use of protocol forwarding,TRUE,N/A,Not Configured,,
Platform,Domain restricted contacts,TRUE,N/A,Not Configured,,
Platform,Google Cloud Platform - Detailed Audit Logging Mode,TRUE,N/A,Not Configured,,
Platform,Disable Cloud Logging for Cloud Healthcare API,TRUE,N/A,Not Configured,,
Platform,Google Cloud Platform - Resource Location Restriction,TRUE,N/A,Not Configured,,
Platform,Restrict Resource Service Usage,TRUE,N/A,Not Configured,,
Platform,Require Enabled Services Allow List for Cross-Organization Move,TRUE,N/A,Not Configured,,
Platform,Allowed Destinations for Exporting Resources,TRUE,N/A,Not Configured,,
Platform,Allowed Sources for Importing Resources,TRUE,N/A,Not Configured,,
Platform,Restrict allowed Google Cloud APIs and services,FALSE,N/A,Not Configured,,
Platform,Disable Project Security Contacts,TRUE,N/A,Not Configured,,
Platform,Allowed target types for jobs,TRUE,N/A,Not Configured,,
Private Service Connect,Disable Private Service Connect for Consumers,TRUE,N/A,Not Configured,,
Serverless Functions,Allowed ingress settings (Cloud Functions),TRUE,N/A,Not Configured,,
