Name,Type,Possible values *,Added on,Description,Recommended to set *,Recommended setting *,Notes *,Additional information *,ID,Internal notes *
App Engine,,,,,,,,,,
Disable Source Code Download,Boolean,"
True, False
Manually updated: 2024-03-26",2019-04,Disables code downloads of source code previously uploaded to App Engine.,Should have,"
Enforce at organization level and manage by exception for valid use cases.
","
This reference describes
using the appcfg tool to download an application's source code. This tool is now deprecated. Currently the replacement,
the Cloud SDK, does not support this download capability.
",,appengine.disableCodeDownload,
Runtime Deployment Exemption (App Engine),List,Manually updated: 2023-10-20,2023-11,"This list constraint defines the set of App Engine Standard legacy runtimes (Python 2.7, PHP 5.5 and Java 8) allowed for deployments past End of Support. App Engine Standard legacy runtimes will reach End of Support on Jan 30, 2024. Generally, attempts to deploy applications using legacy runtimes after this date will be blocked. See App Engine Standard runtime support schedule. Setting this constraint to “Allow” unblocks App Engine Standard deployments for the legacy runtime(s) that you specify until the Runtime Deprecation Date. Setting this constraint to “Allow All” unblocks App Engine Standard deployments for all legacy runtime(s) until the Runtime Deprecation Date. Runtimes that have reached End of Support do not receive routine security and maintenance patches. We strongly encourage you to upgrade your applications to use a Generally Available runtime version.",Could have,,,,appengine.runtimeDeploymentExemption,
Assured Workloads,,,,,,,,,,
Disable Instance Data Access APIs,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. This boolean constraint, when enforced, will disable the GetSerialPortOutput and GetScreenshot APIs that access VM's serial port output and capture screen shot from VM UIs.",,,,,compute.disableInstanceDataAccessApis,
Disable diagnostic administrative access pathways in GKE.,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, all access paths for diagnostics and other customer support use cases that do not comply with Assured Workloads requirements will be disabled.",,,,,container.restrictNoncompliantDiagnosticDataAccess,
Restrict non-compliant workloads for Cloud SQL instances.,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, certain aspects of supportability will be impaired and provisioned resources will strictly follow advanced sovereignty requirements for Assured Workloads. This policy is retroactive in that it will apply to existing projects, but it will not affect resources that have already been provisioned; ie. modifications to the policy will only be reflected in resources created after the policy is modified.",,,,,sql.restrictNoncompliantResourceCreation,
Disable diagnostic and administrative access pathways in Cloud SQL to meet compliance requirements.,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. When this boolean constraint is enforced, certain aspects of supportability will be impaired and all access paths for diagnostics and other customer support use cases that do not meet advanced sovereignty requirements for Assured Workloads will be disabled.",,,,,sql.restrictNoncompliantDiagnosticDataAccess,
Enable settings required for compliance memory protection workloads,Boolean,"
True, False
Manually updated: 2024-03-26",2022-12,Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. This constraint controls settings required to eliminate potential access paths to VM core memory. When enforced it limits the ability to access VM core memory by disabling access pathways and restricts internal data collection when an error occurs.,,,,,compute.enableComplianceMemoryProtection,
Restrict TLS Versions,List,,2023-02,"This constraint defines the set of TLS versions that cannot be used on the organization, folder, or project where this constraint is enforced, or any of that resource's children in the resource hierarchy. By default, all TLS versions are allowed. TLS versions can only be specified in the denied list, and must be identified in the form TLS\_VERSION\_1 or TLS\_VERSION\_1\_1.This constraint is only applied to requests using TLS. It will not be used to restrict unencrypted requests. For more information, see https://cloud.google.com/assured-workloads/docs/restrict-tls-versions.",Should have,,,,gcp.restrictTLSVersion,
